Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,SignalLine
2025-01-08,0.365279,0.326948,0.316615,0.32526,0.324124,0.248564,0.358621,40.0178,-0.0462892,-0.0603699
2025-01-10,0.284177,0.25044,0.238836,0.234048,0.458403,0.23792,0.342011,43.4979,-0.0524484,-0.0587856
2025-01-13,0.247021,0.249899,0.256001,0.217024,0.243782,0.232862,0.325346,42.2936,-0.0580343,-0.0586353
2025-01-14,0.281871,0.251113,0.239507,0.233356,0.221316,0.22981,0.313081,36.7738,-0.0604464,-0.0589975
2025-01-15,0.276105,0.291054,0.291404,0.257716,0.233805,0.225087,0.305699,45.0037,-0.0597043,-0.0591389
2025-01-16,0.31057,0.301714,0.271021,0.26699,0.141006,0.221059,0.300538,36.5308,-0.0577026,-0.0588516
2025-01-17,0.317489,0.332749,0.311519,0.289827,0.208204,0.216589,0.29911,37.3008,-0.053655,-0.0578123
2025-01-21,0.338117,0.340441,0.322516,0.303806,0.163907,0.211613,0.299736,34.7507,-0.0487572,-0.0560013
2025-01-22,0.346957,0.351127,0.342229,0.330104,0.200353,0.206326,0.303785,37.3371,-0.0422665,-0.0532543
2025-01-23,0.325753,0.333828,0.332708,0.303253,0.0934729,0.200028,0.303714,40.2167,-0.0388414,-0.0503717
2025-01-24,0.365791,0.355418,0.330025,0.324567,0.163817,0.194526,0.306494,38.7974,-0.034015,-0.0471004
2025-01-27,0.279308,0.228174,0.225023,0.225329,0.475883,0.18508,0.295672,43.5978,-0.0377625,-0.0452328
2025-01-28,0.245676,0.230198,0.213759,0.198616,0.258867,0.178547,0.282731,43.6494,-0.0423991,-0.0446661
2025-01-29,0.253299,0.25732,0.256403,0.231419,0.255104,0.171384,0.27589,45.3037,-0.0429319,-0.0443193
2025-01-30,0.288661,0.286061,0.276653,0.257993,0.144966,0.162554,0.273504,46.3365,-0.0407402,-0.0436034
2025-01-31,0.296477,0.262313,0.237629,0.245882,0.258643,0.149654,0.269821,47.1803,-0.0395248,-0.0427877
2025-02-03,0.22902,0.230603,0.2151,0.184913,0.195722,0.137734,0.2585,45.7881,-0.0429858,-0.0428273
2025-02-04,0.249199,0.255026,0.285235,0.249827,0.564159,0.129443,0.257343,39.2244,-0.0400293,-0.0422677
2025-02-05,0.148751,0.143166,0.184793,0.142422,1,0,0.242021,35.3422,-0.0458246,-0.0429791
2025-02-06,0.191288,0.177169,0.159984,0.148927,0.363305,0,0.229608,32.0632,-0.049324,-0.0442481
2025-02-07,0.168225,0.147079,0.125117,0.112388,0.317347,0,0.213979,32.0182,-0.0544184,-0.0462822
2025-02-10,0.159385,0.16543,0.164275,0.132872,0.1991,0,0.203164,27.8462,-0.0561556,-0.0482568
2025-02-11,0.166304,0.17609,0.17259,0.155986,0.200458,0,0.196874,29.201,-0.0550327,-0.049612
2025-02-12,0.173222,0.177775,0.180904,0.138901,0.09769,0,0.189144,31.3599,-0.0548888,-0.0506674
2025-02-13,0.204997,0.19579,0.182111,0.177163,0.262644,0,0.187547,1.1365e-309,-0.0510983,-0.0507536
2025-02-14,0.213325,0.213332,0.19941,0.177578,0.173411,0,0.186218,1.39039e-311,-0.0475131,-0.0501055
2025-02-18,0.231262,0.236945,0.215234,0.190311,0.165404,0,0.186763,1.39039e-311,-0.0431469,-0.0487138
2025-02-19,0.23376,0.232762,0.220732,0.198062,0.134591,0,0.18827,-0.00137193,-0.0386161,-0.0466942
2025-02-20,0.243562,0.23229,0.213759,0.204152,0.117789,0,0.190388,-0.00575738,-0.0341405,-0.0441835
2025-02-21,0.241448,0.196195,0.169103,0.193218,0.267319,0,0.190765,-0.00962451,-0.0311171,-0.0415702
2025-02-24,0.198463,0.163136,0.132493,0.13564,0.137389,0,0.183415,-0.0178112,-0.0329869,-0.0398535
2025-02-25,0.152274,0.104304,0.0768406,0.0946713,0.244208,0,0.171582,-0.0304814,-0.037344,-0.0393516
2025-02-26,0.114606,0.109297,0.0873005,0.0553619,0.13851,0,0.156086,-0.037676,-0.043468,-0.0401749
2025-02-27,0.116336,0.0487114,0.0171651,0.0548097,0.329844,0,0.142583,-0.0455663,-0.0478146,-0.0417029
2025-02-28,0.0456118,0.0377817,0.0218587,0,0.307953,0,0.123572,-0.05124,-0.0550475,-0.0443718
2025-03-03,0.0706598,0.0161921,0,0.00747405,0.241974,0,0.108092,-0.0564925,-0.0594908,-0.0473956
2025-03-04,0,0,0.0337938,0.0191003,0.402769,0,0.0962265,-0.0636019,-0.0613665,-0.0501898
